,route,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available,state,From,To
0,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,RSRTC - 193271,Express Non AC Seater 2+3,19:30,06h 30m,02:00,4.2,294.0,40,Rajasthan,Udaipur,Jodhpur
1,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,04h 30m,21:30,4.5,550.0,10,Rajasthan,Udaipur,Jodhpur
2,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,04h 45m,21:55,4.4,600.0,39,Rajasthan,Udaipur,Jodhpur
3,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,AdKalpana Travels,NON AC Seater / Sleeper 2+1,22:00,06h 54m,04:54,3.6,300.0,21,Rajasthan,Udaipur,Jodhpur
4,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Raj Travel,A/C Sleeper (2+1),22:30,07h 00m,05:30,4.6,560.0,18,Rajasthan,Udaipur,Jodhpur
5,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),21:30,07h 00m,04:30,4.1,460.0,30,Rajasthan,Udaipur,Jodhpur
6,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,06h 30m,04:30,3.9,457.0,18,Rajasthan,Udaipur,Jodhpur
7,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,06h 00m,04:00,3.6,350.0,45,Rajasthan,Udaipur,Jodhpur
8,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Rishabh Travels Milan,A/C Seater / Sleeper (2+1),21:00,05h 15m,02:15,3.5,500.0,19,Rajasthan,Udaipur,Jodhpur
9,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,NON AC Seater / Sleeper 2+1,22:15,06h 45m,05:00,2.8,350.0,13,Rajasthan,Udaipur,Jodhpur
10,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Ravi Travels,NON A/C Seater/ Sleeper (2+1),23:00,06h 45m,05:45,2.3,400.0,42,Rajasthan,Udaipur,Jodhpur
11,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Lake City Travels,A/C Seater / Sleeper (2+1),22:45,06h 35m,05:20,1.3,350.0,9,Rajasthan,Udaipur,Jodhpur
12,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Ashok Travels,Non A/C Seater / Sleeper (2+1),23:30,06h 30m,06:00,2.9,450.0,37,Rajasthan,Udaipur,Jodhpur
13,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,NON A/C Seater/ Sleeper (2+1),23:30,06h 30m,06:00,2.3,360.0,27,Rajasthan,Udaipur,Jodhpur
14,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Chandra Travels (Apex Chandra Pvt Ltd),NON AC Seater / Sleeper 2+1,22:30,06h 00m,04:30,3.4,350.0,24,Rajasthan,Udaipur,Jodhpur
15,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Ravi Travels,NON A/C Sleeper (2+1),21:45,06h 45m,04:30,2.3,600.0,16,Rajasthan,Udaipur,Jodhpur
16,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Patel Eagle Travels,AC Seater (2+2),21:00,06h 00m,03:00,3.9,285.71,25,Rajasthan,Udaipur,Jodhpur
17,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Pooja Paraswnath Travels,NON A/C Sleeper (2+1),22:11,05h 00m,03:11,3.8,500.0,18,Rajasthan,Udaipur,Jodhpur
18,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain travels regd,NON AC Seater / Sleeper 2+1,23:15,07h 15m,06:30,3.7,350.0,12,Rajasthan,Udaipur,Jodhpur
19,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,R.S.Sodha Travels,A/C Seater / Sleeper (2+1),21:00,06h 10m,03:10,3.4,700.0,35,Rajasthan,Udaipur,Jodhpur
20,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Jain Parshwanath Travels,NON A/C Sleeper (2+1),22:00,06h 45m,04:45,2.8,500.0,18,Rajasthan,Udaipur,Jodhpur
21,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Salasar vaishnav travels,Non A/C Seater / Sleeper (2+1),22:40,06h 50m,05:30,2.3,500.0,40,Rajasthan,Udaipur,Jodhpur
22,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Ashok Travels,Non A/C Seater / Sleeper (2+1),23:15,06h 15m,05:30,0.0,450.0,44,Rajasthan,Udaipur,Jodhpur
23,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193255,Semi Deluxe Non AC Seater 2+2,17:30,05h 00m,22:30,3.8,250.0,35,Rajasthan,Jodhpur,Ajmer
24,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,04h 00m,21:30,3.9,460.0,30,Rajasthan,Jodhpur,Ajmer
25,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 190951,Express Non AC Seater 2+3,18:00,04h 30m,22:30,3.8,229.0,42,Rajasthan,Jodhpur,Ajmer
26,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 193481,Express Non AC Seater 2+3,18:30,04h 30m,23:00,3.8,229.0,42,Rajasthan,Jodhpur,Ajmer
27,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,03h 45m,23:45,4.3,460.0,37,Rajasthan,Jodhpur,Ajmer
28,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,04h 30m,01:30,3.8,302.0,37,Rajasthan,Jodhpur,Ajmer
